gene	n.umis	n.tot	efficiency	depth	loss	n.obs
FBtr0080838-M	15	15.8	0.675	5.39	0.0512	15
FBtr0080843	32	33.6	0.638	5.81	0.0476	32
FBtr0080846-M	23	24.4	0.715	5.14	0.0586	23
FBtr0080848	125	136	0.516	5.63	0.0783	125
FBtr0080855-M	14	14.7	0.622	5.89	0.0464	14
FBtr0080871	7	7.39	0.622	5.64	0.0532	7
FBtr0080889-M	319	338	0.671	5.59	0.0575	319
FBtr0080891	39	41.1	0.663	5.6	0.0508	39
FBtr0080892	4	4.73	0.51	5.11	0.154	4
FBtr0080908-M	1	1.09	0.559	5.39	0.0804	1
FBtr0080928	2	2.17	0.559	5.39	0.0804	2
FBtr0080957	19	20.3	0.544	5.83	0.0642	19
FBtr0080968	48	52.4	0.53	5.44	0.0839	48
FBtr0080979	1	1.09	0.559	5.39	0.0804	1
FBtr0081011	154	164	0.622	5.67	0.0604	154
FBtr0081042-M	25	27.3	0.496	5.65	0.0834	25
FBtr0081143	127	132	0.64	6.6	0.0358	127
FBtr0081155	2	2.17	0.559	5.39	0.0804	2
FBtr0081177	59	61.2	0.739	5.85	0.0355	59
FBtr0081180	57	60.2	0.663	5.58	0.0537	57
FBtr0081513-M	299	316	0.604	5.98	0.0551	299
FBtr0081618-M	169	179	0.665	5.64	0.0554	169
FBtr0081666-M	3	3.24	0.574	5.39	0.0741	3
FBtr0081758	50	58.5	0.333	5.24	0.145	50
FBtr0081987-M	430	469	0.456	5.73	0.0837	430
FBtr0082003-M	16	18.2	0.457	5.3	0.122	16
FBtr0082052-M	19	21.2	0.455	5.54	0.104	19
FBtr0082194	1	1.09	0.559	5.39	0.0804	1
FBtr0082255-M	2	2.17	0.559	5.39	0.0804	2
FBtr0082434	31	33.3	0.635	5.27	0.0694	31
FBtr0082483	9	10.7	0.46	5.06	0.162	9
FBtr0082660-M	193	217	0.468	5.07	0.11	193
FBtr0082662	7	9.46	0.478	4.73	0.26	7
FBtr0082703	43	47.3	0.464	5.62	0.0909	43
FBtr0082780-M	6	6.35	0.612	5.72	0.0547	6
FBtr0082832-M	67	76.6	0.411	5.14	0.125	67
FBtr0083126	50	54.8	0.58	5.15	0.0882	50
FBtr0083196-M	18	19	0.692	5.29	0.0537	18
FBtr0083238	105	111	0.665	5.59	0.0556	105
FBtr0083538	2	2.17	0.559	5.39	0.0804	2
FBtr0083739-M	19	36.2	0.697	3.77	0.475	19
FBtr0083917-M	117	125	0.586	5.64	0.0664	117
FBtr0084064-M	16	18.3	0.633	4.74	0.128	16
FBtr0084589	1669	1831	0.547	5.21	0.0886	1669
FBtr0084660-M	38	40	0.606	5.95	0.0499	38
FBtr0084692	24	25.6	0.6	5.58	0.061	24
FBtr0084869	2	2.17	0.559	5.39	0.0804	2
FBtr0084958	7	7.45	0.611	5.44	0.0608	7
FBtr0084960	1	1.09	0.559	5.39	0.0804	1
FBtr0084982	25	27.5	0.576	5.17	0.0897	25
FBtr0084994-M	312	344	0.551	5.12	0.0924	312
FBtr0085175	29	34.4	0.398	4.97	0.158	29
FBtr0085298-M	203	227	0.424	5.32	0.106	203
FBtr0085484-M	18	20.1	0.459	5.48	0.107	18
FBtr0085593-M	4839	5476	0.523	4.69	0.116	4839
FBtr0085595-M	28	30	0.46	6.37	0.0674	28
FBtr0085609-M	28	32.1	0.424	5.23	0.129	28
FBtr0085612	11	11.7	0.651	5.29	0.0607	11
FBtr0085614	5	5.52	0.53	5.38	0.0937	5
FBtr0085616	10	11.3	0.493	5.24	0.119	10
FBtr0085640	4	4.31	0.597	5.32	0.0719	4
FBtr0085713	502	534	0.551	6.05	0.0607	502
FBtr0085744	121	128	0.67	5.61	0.0546	121
FBtr0085874-M	313	331	0.632	5.85	0.0551	313
FBtr0085875	140	151	0.626	5.33	0.0719	140
FBtr0086029	1085	1154	0.596	5.87	0.06	1085
FBtr0086031-M	24	26.2	0.72	4.84	0.0825	24
FBtr0086112-M	84	87.6	0.649	6.19	0.0412	84
FBtr0086133	1	1.09	0.559	5.39	0.0804	1
FBtr0086461	2	2.17	0.559	5.39	0.0804	2
FBtr0086744-M	25	28	0.457	5.44	0.106	25
FBtr0087184	121	138	0.471	4.86	0.123	121
FBtr0087232-M	88	98.8	0.425	5.33	0.109	88
FBtr0087387-M	60	66.5	0.508	5.25	0.0977	60
FBtr0087568-M	496	522	0.63	6.06	0.0504	496
FBtr0087647	89	96.8	0.531	5.51	0.0802	89
FBtr0087702	9	9.47	0.617	5.85	0.0493	9
FBtr0087782-M	2045	2259	0.56	5.02	0.0949	2045
FBtr0088010	172	189	0.53	5.23	0.0918	172
FBtr0088095-M	1	1.09	0.559	5.39	0.0804	1
FBtr0088154	23	26	0.399	5.67	0.114	23
FBtr0088272-M	38	39.8	0.722	5.5	0.0444	38
FBtr0088410-M	62	66.7	0.511	5.88	0.0703	62
FBtr0088422-M	17	18.2	0.629	5.3	0.0668	17
FBtr0088651	4	4.33	0.546	5.52	0.0767	4
FBtr0088679-M	91	99.5	0.485	5.6	0.0852	91
FBtr0088831	12	16.4	0.657	4.42	0.266	12
FBtr0088903-M	318	338	0.7	5.38	0.0605	318
FBtr0089015-M	20	22.8	0.481	5.14	0.122	20
FBtr0089204	114	128	0.454	5.13	0.112	114
FBtr0089304-M	16	16.7	0.649	5.83	0.0432	16
FBtr0089498-M	66	70.8	0.553	5.74	0.0673	66
FBtr0089505-M	60	63.9	0.676	5.32	0.0615	60
FBtr0089735-M	179	183	0.797	6.78	0.0194	179
FBtr0089747	3	3.24	0.588	5.34	0.0736	3
FBtr0089853-M	43	47.2	0.514	5.41	0.0889	43
FBtr0089931-M	2	2.17	0.559	5.39	0.0804	2
FBtr0089991	200	210	0.702	5.82	0.0462	200
FBtr0090006-M	1	1.09	0.559	5.39	0.0804	1
FBtr0090027-M	113	118	0.657	6.02	0.045	113
FBtr0100153-M	260	278	0.634	5.55	0.0636	260
FBtr0100220-M	15	17.2	0.464	5.21	0.128	15
FBtr0100265-M	3	3.48	0.521	5.18	0.137	3
FBtr0100410-M	181	193	0.627	5.67	0.06	181
FBtr0100411-M	7	7.59	0.532	5.59	0.0775	7
FBtr0100456-M	6	6.57	0.566	5.28	0.0869	6
FBtr0100565-M	2	2.17	0.559	5.39	0.0804	2
FBtr0110966-M	64	69	0.508	5.84	0.0725	64
FBtr0110978-M	31	32.4	0.747	5.35	0.0445	31
FBtr0111000-M	61	66.7	0.583	5.19	0.0854	61
FBtr0111009-M	15	15.8	0.661	5.45	0.0516	15
FBtr0112790-M	3240	3502	0.546	5.6	0.0748	3240
FBtr0112795-M	106	115	0.45	5.9	0.0805	106
